file_name,label,nose_x,nose_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_index_finger_x,left_index_finger_y,right_index_finger_x,right_index_finger_y,left_eye_x,left_eye_y,left_eye_z,right_eye_x,right_eye_y,right_eye_z
1.png,1,0.39815,0.23696,0.64389,0.24149,0.18594,0.26035,100,100,0.13573,0.44488,100,100,0.37454,0.2792,100,100,0.42289,0.22615,0.42905,0.21325,-1.19776,0.44822,0.2094,-1.19778
10.png,1,0.4928,0.19945,0.7421,0.26813,0.24721,0.25752,0.88096,0.42331,0.10365,0.40119,0.87432,0.46566,0.21003,0.45461,0.78585,0.47843,0.29121,0.45496,0.5372,0.17433,-2.24226,0.55929,0.17238,-2.24232
11.png,1,0.58573,0.20678,0.69265,0.24333,0.16902,0.24706,0.79034,0.37835,0.19282,0.42056,0.83552,0.42993,0.64283,0.39478,100,100,0.76049,0.37461,0.59334,0.18592,-1.19082,0.60042,0.18438,-1.19136
12.png,1,0.47479,0.17545,0.73265,0.249,0.24676,0.22524,0.90738,0.42436,0.13274,0.40182,0.84212,0.23967,0.3076,0.44548,0.77152,0.1724,0.38361,0.44329,0.52496,0.15134,-0.75358,0.55019,0.15086,-0.75364
13.png,1,0.48523,0.16418,0.72697,0.24675,0.25722,0.23115,0.88395,0.43365,0.1393,0.40117,0.81386,0.25211,0.2816,0.44963,0.73514,0.19496,0.34998,0.44395,0.52214,0.1355,-0.8364,0.54351,0.13338,-0.83644
14.png,1,0.47685,0.15355,0.73908,0.27402,0.21365,0.27596,0.84134,0.44366,0.14057,0.43722,0.9007,0.47804,0.28087,0.46966,0.92486,0.46051,0.38663,0.46956,0.51132,0.12936,-0.79644,0.53019,0.1293,-0.7966
15.png,1,0.45632,0.16533,0.6905,0.25792,0.20859,0.27163,0.82743,0.41629,0.13082,0.42288,0.93259,0.48019,0.28326,0.46166,0.90134,0.47535,0.36277,0.45875,0.47971,0.13844,-0.90584,0.4964,0.13646,-0.90596
16.png,1,0.3745,0.14725,0.72963,0.26398,0.26729,0.24557,0.90553,0.46427,0.12318,0.41993,0.78874,0.28014,0.29362,0.46466,0.70738,0.22547,0.35872,0.44149,0.41429,0.12466,-0.66352,0.43846,0.12514,-0.66355
17.png,1,0.88284,0.183,0.79994,0.29041,0.34941,0.25416,0.93729,0.43129,0.17471,0.39889,0.73974,0.28892,0.18097,0.44646,0.66882,0.23807,0.19577,0.44001,0.88213,0.15773,-0.38684,0.88121,0.15688,-0.38703
18.png,1,0.74029,0.15035,0.74384,0.2646,0.27577,0.251,0.91824,0.42182,0.13455,0.42037,0.82372,0.25874,0.10929,0.46735,0.77888,0.20458,0.08897,0.45762,0.73489,0.12296,-0.55804,0.73742,0.12245,-0.55824
19.png,1,0.80875,0.14532,0.83303,0.25748,0.31589,0.24702,0.96655,0.41744,0.12507,0.41111,0.95593,0.43621,0.18401,0.44089,0.91721,0.41635,0.23885,0.42906,0.79755,0.11857,-0.46959,0.79692,0.11795,-0.46996
2.png,1,0.39815,0.23696,0.64389,0.24149,0.18594,0.26035,100,100,0.13573,0.44488,100,100,0.37454,0.2792,100,100,0.42289,0.22615,0.42905,0.21325,-1.19776,0.44822,0.2094,-1.19778
20.png,1,0.18056,0.14782,0.70746,0.24646,0.18225,0.25665,0.81977,0.41332,0.08553,0.41632,0.91149,0.45064,0.11086,0.44152,0.94929,0.4624,0.17595,0.44167,0.20625,0.12425,-0.59413,0.22493,0.12179,-0.59413
21.png,1,0.70912,0.13508,0.70488,0.25466,0.21187,0.24549,0.79177,0.39869,0.09264,0.40746,0.8809,0.44759,0.12279,0.44171,0.91782,0.47243,0.15601,0.43631,0.69707,0.1097,-0.18564,0.69355,0.10911,-0.18603
22.png,1,0.69857,0.13208,0.70025,0.2556,0.23204,0.24654,0.77824,0.40429,0.13314,0.41335,0.86761,0.45649,0.14898,0.45884,0.91299,0.48375,0.19625,0.45999,0.68776,0.10576,-0.18547,0.68453,0.10503,-0.18586
23.png,1,0.55991,0.18596,0.59837,0.28323,0.18834,0.27312,0.71936,0.41514,0.11301,0.44824,0.78005,0.42524,0.34045,0.28838,0.75925,0.4385,0.43891,0.24938,0.55616,0.16562,-0.1839,0.56115,0.16574,-0.18424
28.png,1,0.56768,0.22265,0.81441,0.24909,0.33744,0.23024,0.87992,0.41371,0.20858,0.37085,0.88256,0.44307,0.11461,0.44634,0.84337,0.46053,0.08153,0.44431,0.61507,0.19425,-1.07745,0.63601,0.1927,-1.07739
29.png,1,0.65827,0.17011,0.80588,0.2172,0.52754,0.20625,0.83231,0.41085,0.47773,0.38033,0.7825,0.46467,0.3811,0.47475,0.77249,0.45879,0.35462,0.47669,0.68423,0.14409,-0.77253,0.69686,0.14261,-0.77267
3.png,1,0.42971,0.23143,0.6926,0.21297,0.24055,0.22436,0.86692,0.36108,0.04861,0.40224,0.81494,0.44426,0.2451,0.44492,0.76146,0.47141,0.32003,0.44159,0.45455,0.18274,-1.24168,0.47645,0.17735,-1.2418
30.png,1,0.69797,0.15987,0.78229,0.20944,0.2836,0.20039,0.80362,0.39113,0.15085,0.38867,0.96515,0.508,0.31915,0.43866,1.00969,0.54038,0.36492,0.43876,0.71479,0.13549,-1.36651,0.72234,0.13488,-1.36677
31.png,1,0.61735,0.20984,0.88293,0.27002,0.61651,0.27078,0.93158,0.44803,0.51479,0.36121,0.75658,0.492,0.34355,0.3587,0.68886,0.5082,0.28972,0.35074,0.6283,0.18447,-0.07259,0.63605,0.18336,-0.07267
